DATE,QSGR628BIS
1998-01-01,87.6284
1998-04-01,80.7153
1998-07-01,70.257
1998-10-01,64.278
1999-01-01,67.7042
1999-04-01,75.5318
1999-07-01,81.4795
1999-10-01,85.7711
2000-01-01,87.8084
2000-04-01,89.2412
2000-07-01,86.0122
2000-10-01,83.2409
2001-01-01,79.5194
2001-04-01,78.917
2001-07-01,76.5489
2001-10-01,73.6496
2002-01-01,72.9081
2002-04-01,72.142
2002-07-01,72.4901
2002-10-01,72.2184
2003-01-01,71.3684
2003-04-01,71.07
2003-07-01,70.491
2003-10-01,70.2689
2004-01-01,69.3809
2004-04-01,69.1485
2004-07-01,69.1729
2004-10-01,69.7202
2005-01-01,70.577
2005-04-01,70.7441
2005-07-01,71.0764
2005-10-01,71.6786
2006-01-01,72.9478
2006-04-01,74.1649
2006-07-01,75.8987
2006-10-01,78.51
2007-01-01,83.0887
2007-04-01,88.7005
2007-07-01,93.9532
2007-10-01,98.7713
2008-01-01,101.1515
2008-04-01,99.1108
2008-07-01,95.4676
2008-10-01,89.0182
2009-01-01,77.2412
2009-04-01,74.2939
2009-07-01,85.2558
2009-10-01,91.2241
2010-01-01,95.7477
2010-04-01,99.6303
2010-07-01,101.3334
2010-10-01,103.158
2011-01-01,103.548
2011-04-01,104.8153
2011-07-01,104.1636
2011-10-01,103.5041
2012-01-01,102.1264
2012-04-01,101.5012
2012-07-01,101.1937
2012-10-01,102.2991
2013-01-01,101.675
2013-04-01,104.00
2013-07-01,103.2439
2013-10-01,101.4057
2014-01-01,99.9487
2014-04-01,98.9623
2014-07-01,98.241
2014-10-01,97.3411
2015-01-01,96.4287
2015-04-01,95.7262
2015-07-01,94.6681
2015-10-01,94.4498
2016-01-01,93.9724
2016-04-01,93.803
2016-07-01,92.0964
2016-10-01,91.4926
2017-01-01,90.7981
2017-04-01,90.8225
2017-07-01,91.4868
2017-10-01,92.0695
2018-01-01,95.4813
2018-04-01,98.744
2018-07-01,98.8418
2018-10-01,98.8243
2019-01-01,97.9771
2019-04-01,99.1613
2019-07-01,100.5344
2019-10-01,100.8302
2020-01-01,99.9163
2020-04-01,101.0602
2020-07-01,101.4694
2020-10-01,103.1801
2021-01-01,105.7492
2021-04-01,105.8522
2021-07-01,106.4112
2021-10-01,110.0357
2022-01-01,108.9783
2022-04-01,110.5894
2022-07-01,112.6366
2022-10-01,112.0944
2023-01-01,114.4145
2023-04-01,113.0757
